item_id,name,title,category,unit,value_kind,status,source_ref
1,fn1,基本每股收益,financial_statement,per_share,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
2,fn2,扣除非经常性损益每股收益,financial_statement,per_share,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
3,fn3,每股未分配利润,financial_statement,per_share,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
4,fn4,每股净资产,financial_statement,per_share,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
5,fn5,每股资本公积金,financial_statement,per_share,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
6,fn6,净资产收益率,financial_statement,percent_or_ratio,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
7,fn7,每股经营现金流量,financial_statement,per_share,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
8,fn8,货币资金,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
9,fn9,交易性金融资产,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
10,fn10,应收票据,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
11,fn11,应收账款,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
12,fn12,预付款项,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
13,fn13,其他应收款,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
14,fn14,应收关联公司款,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
15,fn15,应收利息,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
16,fn16,应收股利,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
17,fn17,存货,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
18,fn18,其中：消耗性生物资产,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
19,fn19,一年内到期的非流动资产,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
20,fn20,其他流动资产,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
21,fn21,流动资产合计,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
22,fn22,可供出售金融资产,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
23,fn23,持有至到期投资,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
24,fn24,长期应收款,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
25,fn25,长期股权投资,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
26,fn26,投资性房地产,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
27,fn27,固定资产,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
28,fn28,在建工程,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
29,fn29,工程物资,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
30,fn30,固定资产清理,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
31,fn31,生产性生物资产,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
32,fn32,油气资产,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
33,fn33,无形资产,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
34,fn34,开发支出,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
35,fn35,商誉,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
36,fn36,长期待摊费用,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
37,fn37,递延所得税资产,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
38,fn38,其他非流动资产,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
39,fn39,非流动资产合计,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
40,fn40,资产总计,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
41,fn41,短期借款,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
42,fn42,交易性金融负债,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
43,fn43,应付票据,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
44,fn44,应付账款,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
45,fn45,预收款项,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
46,fn46,应付职工薪酬,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
47,fn47,应交税费,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
48,fn48,应付利息,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
49,fn49,应付股利,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
50,fn50,其他应付款,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
51,fn51,应付关联公司款,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
52,fn52,一年内到期的非流动负债,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
53,fn53,其他流动负债,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
54,fn54,流动负债合计,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
55,fn55,长期借款,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
56,fn56,应付债券,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
57,fn57,长期应付款,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
58,fn58,专项应付款,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
59,fn59,预计负债 （非流动负债）,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
60,fn60,递延所得税负债,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
61,fn61,其他非流动负债,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
62,fn62,非流动负债合计,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
63,fn63,负债合计,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
64,fn64,实收资本（或股本）,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
65,fn65,资本公积,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
66,fn66,盈余公积,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
67,fn67,减：库存股,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
68,fn68,未分配利润,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
69,fn69,少数股东权益,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
70,fn70,外币报表折算价差,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
71,fn71,非正常经营项目收益调整,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
72,fn72,所有者权益（或股东权益）合计,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
73,fn73,负债和所有者（或股东权益）合计,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
74,fn74,其中：营业收入,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
75,fn75,其中：营业成本,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
76,fn76,营业税金及附加,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
77,fn77,销售费用,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
78,fn78,管理费用,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
79,fn79,勘探费用,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
80,fn80,财务费用,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
81,fn81,资产减值损失,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
82,fn82,加：公允价值变动净收益,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
83,fn83,投资收益,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
84,fn84,其中：对联营企业和合营企业的投资收益,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
85,fn85,影响营业利润的其他科目,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
86,fn86,三、营业利润,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
87,fn87,加：补贴收入,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
88,fn88,营业外收入,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
89,fn89,减：营业外支出,financial_statement,raw,float64,confirmed,mootdx.financial.columns;TdxQuant.get_financial_data
